TransactionID,Date,Amount,Currency,PaymentType,Status,SenderName,SenderTIN,SenderBank,SenderBankRouting,SenderAccountNo,ReceiverName,ReceiverTIN,ReceiverBank,ReceiverBankRouting,ReceiverAccountNo,BusinessCategory,TransactionFee,IsInternational,Notes,ProcessedBy,BankBranch,Region,Channel,Purpose,CustomerSegment,SettlementDate,FXRate,OriginalCurrency,ChargeBearer,SwiftCode,ComplianceCheck,AMLScore,KYCCheck,TaxWithheld,AuditTrail,TransactionTime,CountryCode,UserDevice,IPAddress,PaymentPriority,Recurring,LinkedTxn,CustomField1,CustomField2,CustomField3,ReferenceNumber,FraudCheck,OriginatingSystem
385abb80-6e34-413b-ab6b-676da1a6bd51,4/1/2025,2120.55,USD,Wire Credit,Failed,"Ellis, Wilkerson and Bryant",52-4302281,PNC Bank,076534924,GLEY34753164079607,Edwards Group,53-1900355,PNC Bank,082574509,LTFO90777233882862,embrace robust eyeballs,9.54,FALSE,Until wait I system hot time.,Frederick Charles,Williamsside,Wisconsin,Mobile App,Cross-group neutral forecast,SMB,4/3/2025,1,USD,Sender,LTWRGBNZ,Flagged,0.67,Incomplete,183.61,https://jackson.com/,7:47:34,US,Android,30.133.206.188,High,TRUE,589599a9-f69b-41ab-9d4f-fe1657a44ddd,just,or,no,bf425015-2779-4e48-95de-3e411a9fa93f,Clear,Manual Entry
dce55671-cf04-47b1-8b10-03713a19368c,4/2/2025,12209.82,USD,Wire Debit,Pending,Li LLC,47-7059353,Chase,059179018,BXMV71809715220311,Davis and Sons,21-5949732,PNC Bank,034559145,KRIO86065632882204,implement revolutionary systems,27.15,FALSE,Approach turn practice these religious middle.,Todd Wallace,Pattersonborough,Minnesota,Bank Branch,Multi-channeled secondary matrix,Startup,4/1/2025,1,USD,Sender,LUTAGBY3,Pending,0.65,Incomplete,98.58,https://brown.net/,2:21:00,US,iOS,98.220.135.93,Normal,FALSE,139e7e47-7ff6-4b22-80ae-5415e0d6840b,night,because,case,476ba863-ff10-49a0-813c-f8154854ca84,Suspected,ERP
d98c706f-7603-4b26-91b8-ce725e119eb5,4/4/2025,7956.33,USD,Wire Credit,Failed,"Stewart, Holland and Dunlap",56-2509712,PNC Bank,085656673,PEXY28686723463764,Wall-Yang,34-6637499,Wells Fargo,055715379,TORA04513531229467,engage killer e-services,9.39,FALSE,Left happen analysis discover opportunity door.,Stephanie Garcia,Briggston,Vermont,Online,Pre-emptive intermediate array,Startup,4/2/2025,1,USD,Sender,AQPJGBITNRO,Pending,0.71,Incomplete,142.86,https://www.jones.com/,22:23:51,US,iOS,83.145.87.158,Normal,TRUE,020b65b9-5435-4a22-976b-84b2af5d085d,system,maybe,network,fc91be4f-5789-4d70-90fb-495a26d245b7,Clear,ERP
1830bd2b-1f96-403b-bfe8-85198ab927ae,4/1/2025,30352.59,USD,Wire Credit,Failed,Willis Inc,94-3075453,Bank of America,044697835,MLAE36086698435274,Russell-Villegas,94-6506199,Wells Fargo,118588168,QCLU17401801952357,whiteboard strategic e-commerce,27.92,FALSE,Check nor serious state store traditional interest even.,Jessica Andersen,Griffithtown,Oregon,Mobile App,Multi-tiered well-modulated time-frame,SMB,4/4/2025,1,USD,Receiver,PBBAGBAA,Passed,0.15,Incomplete,182.84,http://griffin-olson.org/,12:21:51,US,Web,98.235.46.226,Normal,TRUE,56fb6904-f740-4223-bd81-4163135a6abf,rich,who,opportunity,02822514-b976-4ae6-b1cc-72511772c5e6,Clear,Manual Entry
44caf12b-69dc-46ae-ae5d-eb768c648394,4/1/2025,37820.78,USD,Wire Debit,Failed,Robertson Group,95-7416488,Bank of America,120187243,ZZUS71971021939519,Peters PLC,86-2087856,Chase,058595622,AAXD57119797379670,utilize frictionless eyeballs,7.15,FALSE,Bill agent already.,Richard Curtis,Wadebury,Minnesota,Bank Branch,Realigned tertiary orchestration,Enterprise,4/3/2025,1,USD,Receiver,TURVGB0Y5MR,Flagged,0.11,Incomplete,94.72,http://www.martinez.biz/,9:45:11,US,Web,223.113.35.113,High,TRUE,f24ea85f-3859-4456-8b4a-9b7f51101a82,off,term,whole,d2389544-1086-4136-b431-12cedf0ce911,Suspected,ERP
59b94add-50dd-46cc-aee5-41650f3da9fc,4/4/2025,9600.43,USD,Wire Credit,Completed,Heath and Sons,87-8910908,PNC Bank,010038949,SIDW08576082931264,Berry Ltd,66-8327521,Bank of America,055492304,YZNL77813021221762,disintermediate magnetic web-readiness,16.57,FALSE,Ask final as hotel.,Gary Torres,Rhondahaven,South Carolina,Online,Synchronized leadingedge conglomeration,Startup,4/1/2025,1,USD,Sender,KEGTGB6D,Passed,0.86,Complete,114.18,https://www.wells.com/,1:41:04,US,Android,199.192.173.220,Normal,TRUE,6bf2e5e9-7a97-469c-95d8-4d171f822bb7,decide,boy,wife,34379d07-2f9b-45df-bbf4-6e694660db83,Suspected,Manual Entry
05fa0016-c49e-42cb-94e8-f2d0edd39c1d,4/1/2025,43328.21,USD,Wire Debit,Pending,Brown LLC,82-9937136,Citibank,064778909,KCBG98965038877354,"Martinez, Carpenter and Kane",68-3413352,Bank of America,098169173,GYMO61066501187207,incubate ubiquitous interfaces,48.81,FALSE,Different form heavy visit.,Nathan Horton,West Steven,Maryland,Online,Team-oriented bifurcated data-warehouse,Enterprise,4/1/2025,1,USD,Receiver,EXWWGBNWQQH,Flagged,0.82,Complete,196,http://yoder-bauer.com/,19:00:32,US,Android,50.51.203.9,High,FALSE,04b852e1-3450-40f4-bc86-babfb05f36f2,kind,window,road,b1e68171-9151-48c8-b281-847321a7bef2,Clear,Manual Entry
5d00ba19-f934-4bd9-be2c-dd79bc29d38b,4/3/2025,22076.62,USD,Wire Credit,Pending,Ford-Thornton,45-6557698,PNC Bank,111285196,BBRO86500713517787,Sandoval-Villarreal,76-4722504,Bank of America,034398254,JZTP36698605895931,exploit granular networks,21.46,FALSE,Responsibility until either.,Donna Jenkins,New Josephside,South Carolina,Online,Inverse zero-defect approach,Startup,4/4/2025,1,USD,Receiver,OUHXGBHV,Flagged,0.37,Complete,166.71,https://edwards.com/,17:17:06,US,Android,205.240.126.52,Normal,FALSE,48c021fa-7094-477a-a4fc-3f4675a49ebb,skill,American,tend,6b7e8d2f-43c7-4bcf-89e6-d4288aabdfbc,Suspected,CRM
a6f356e5-56fe-4a65-98f5-6ea72fd6c512,4/3/2025,48481.37,USD,Wire Credit,Completed,"Williams, Galvan and Snyder",13-0294228,Bank of America,016340589,GUAG96525975499863,Kelly-Marshall,66-0621163,Bank of America,095668130,IDFW44955491980611,grow user-centric portals,38.71,FALSE,We cultural main network because politics positive again.,Jason Brown,North Laura,Wyoming,Mobile App,Focused transitional customer loyalty,Enterprise,4/2/2025,1,USD,Receiver,THSXGBO1,Pending,0.53,Complete,96.86,http://lynch.com/,12:54:18,US,Web,105.16.93.120,Normal,FALSE,ebe95c40-fca5-4149-998f-12ffcbd48183,his,play,top,b4a4912a-bbf6-4591-86a8-8bfd8fecfe79,Clear,ERP
c5a83e5f-de9c-485c-b058-7820a9da3eee,4/3/2025,12397.01,USD,Wire Debit,Failed,Jones-Berg,80-4894694,Citibank,069524815,SMRF83463941480314,Johnson-Fletcher,61-4721279,Wells Fargo,098053069,RRUU48401614828812,architect clicks-and-mortar web-readiness,7.37,FALSE,Employee entire others full even.,Laurie Riggs,Gregoryview,Nebraska,Mobile App,Organic directional portal,Startup,4/2/2025,1,USD,Sender,DXGXGB9JDCN,Flagged,0.33,Complete,128.52,http://roberts.com/,4:39:56,US,Android,54.207.209.244,Normal,TRUE,f02a0699-80be-4606-aa82-467513789b24,be,good,many,51bc7cf4-6dca-4a17-8c9b-41ad077e8e59,Clear,Manual Entry
